INFO - 2019-01-06 11:55:39,354 - 开始执行脚本 index.py
INFO - 2019-01-06 12:30:25,264 - 开始执行脚本 index.py
INFO - 2019-01-06 12:31:12,806 - 开始执行脚本 index.py
INFO - 2019-01-06 12:31:31,910 - 开始执行脚本 index.py
INFO - 2019-01-06 12:32:45,908 - 开始执行脚本 index.py
INFO - 2019-01-06 14:38:18,298 - 开始执行脚本 index.py
INFO - 2019-01-06 17:38:47,830 - 开始执行脚本 index.py
INFO - 2019-01-06 17:42:02,897 - 开始执行脚本 index.py
INFO - 2019-01-06 17:49:00,790 - 开始执行脚本 index.py
INFO - 2019-01-06 17:50:13,367 - 开始执行脚本 index.py
INFO - 2019-01-06 17:50:45,109 - 开始执行脚本 index.py
INFO - 2019-01-06 17:58:01,946 - 开始执行脚本 index.py
INFO - 2019-01-06 17:59:05,632 - 开始执行脚本 index.py
INFO - 2019-01-06 17:59:13,776 - 开始执行脚本 index.py
INFO - 2019-01-06 18:02:15,045 - 开始执行脚本 index.py
INFO - 2019-01-06 18:03:22,371 - 开始执行脚本 index.py
INFO - 2019-01-06 18:05:14,893 - 开始执行脚本 index.py
INFO - 2019-01-06 18:06:17,763 - 开始执行脚本 index.py
INFO - 2019-01-06 18:14:18,654 - 开始执行脚本 index.py
INFO - 2019-01-06 18:16:20,109 - 开始执行脚本 index.py
INFO - 2019-01-06 18:17:37,316 - 开始执行脚本 index.py
INFO - 2019-01-06 18:19:36,888 - 开始执行脚本 index.py
INFO - 2019-01-06 18:20:31,345 - 开始执行脚本 index.py
INFO - 2019-01-06 18:20:41,444 - 开始执行脚本 index.py
INFO - 2019-01-06 18:22:15,791 - 开始执行脚本 index.py
INFO - 2019-01-06 18:23:36,249 - 开始执行脚本 index.py
INFO - 2019-01-06 18:57:42,984 - 开始执行脚本 index.py
INFO - 2019-01-06 18:58:25,259 - 开始执行脚本 index.py
INFO - 2019-01-06 18:59:12,931 - 开始执行脚本 index.py
INFO - 2019-01-06 19:00:35,196 - 开始执行脚本 index.py
INFO - 2019-01-06 19:02:07,652 - 开始执行脚本 index.py
INFO - 2019-01-06 19:03:43,258 - 开始执行脚本 index.py
INFO - 2019-01-06 19:05:08,778 - 开始执行脚本 index.py
INFO - 2019-01-06 19:06:22,072 - 开始执行脚本 index.py
INFO - 2019-01-06 19:08:02,399 - 开始执行脚本 index.py
INFO - 2019-01-06 19:09:17,828 - 开始执行脚本 index.py
INFO - 2019-01-06 19:11:41,308 - 开始执行脚本 index.py
INFO - 2019-01-06 19:55:21,104 - 开始执行脚本 index.py
INFO - 2019-01-06 20:00:31,457 - 开始执行脚本 index.py
INFO - 2019-01-06 20:02:35,775 - 开始执行脚本 index.py
INFO - 2019-01-06 20:05:26,692 - 开始执行脚本 index.py
INFO - 2019-01-06 20:07:13,477 - 开始执行脚本 index.py
INFO - 2019-01-06 20:09:41,811 - 开始执行脚本 index.py
INFO - 2019-01-06 20:12:11,124 - 开始执行脚本 index.py
INFO - 2019-01-06 20:27:54,777 - 开始执行脚本 index.py
INFO - 2019-01-06 20:29:34,536 - 开始执行脚本 index.py
INFO - 2019-01-06 20:31:28,144 - 开始执行脚本 index.py
INFO - 2019-01-06 20:46:10,569 - 开始执行脚本 index.py
INFO - 2019-01-06 20:54:49,574 - 开始执行脚本 index.py
INFO - 2019-01-06 21:03:10,574 - 开始执行脚本 index.py
INFO - 2019-01-06 21:04:48,622 - 开始执行脚本 index.py
INFO - 2019-01-06 21:17:32,827 - 开始执行脚本 index.py
INFO - 2019-01-06 21:25:17,595 - 开始执行脚本 index.py
INFO - 2019-01-06 21:26:58,263 - 开始执行脚本 index.py
INFO - 2019-01-06 21:34:37,207 - 开始执行脚本 index.py
INFO - 2019-01-06 21:44:49,356 - 开始执行脚本 index.py
INFO - 2019-01-06 21:45:00,069 - 开始执行脚本 index.py
INFO - 2019-01-06 21:47:22,904 - 开始执行脚本 index.py
INFO - 2019-01-06 21:55:19,879 - 开始执行脚本 index.py
INFO - 2019-01-06 21:55:40,323 - 开始执行脚本 index.py
INFO - 2019-01-06 21:58:49,241 - 开始执行脚本 index.py
INFO - 2019-01-06 22:01:36,097 - 开始执行脚本 index.py
INFO - 2019-01-06 22:02:59,166 - 开始执行脚本 index.py
INFO - 2019-01-06 22:22:17,433 - 开始执行脚本 index.py
INFO - 2019-01-06 22:31:07,115 - 开始执行脚本 index.py
INFO - 2019-01-06 22:31:33,538 - 开始执行脚本 index.py
INFO - 2019-01-06 22:31:38,016 - 开始执行脚本 index.py
INFO - 2019-01-06 22:33:25,631 - 开始执行脚本 index.py
INFO - 2019-01-06 22:36:00,938 - 开始执行脚本 index.py
INFO - 2019-01-06 22:43:58,371 - 开始执行脚本 index.py
INFO - 2019-01-06 22:47:59,108 - 开始执行脚本 index.py
INFO - 2019-01-06 22:57:40,063 - 开始执行脚本 index.py
INFO - 2019-01-06 23:02:25,873 - 开始执行脚本 index.py
INFO - 2019-01-06 23:09:28,017 - 开始执行脚本 index.py
INFO - 2019-01-06 23:09:43,260 - 点击hot_a[x1]: <a title="新的一年，希望你喜欢的人也喜欢你" href="/playlist?id=2553249650" class="msk" data-res-id="2553249650" data-res-type="13" data-res-action="log" data-res-data="recommendclick|0|featured|user-playlist"></a>
INFO - 2019-01-06 23:14:23,220 - 开始执行脚本 index.py
INFO - 2019-01-06 23:14:38,381 - 点击hot_a[x1]: <a title="新的一年，希望你喜欢的人也喜欢你" href="/playlist?id=2553249650" class="msk" data-res-id="2553249650" data-res-type="13" data-res-action="log" data-res-data="recommendclick|0|featured|user-playlist"></a>
INFO - 2019-01-06 23:15:02,874 - 点击歌曲<a href="/song?id=573384240"><b title="如约而至">如<div class="soil">水两</div>约而至</b></a>
INFO - 2019-01-06 23:15:16,951 - 点击歌曲<a href="/song?id=92778"><b title="她的眼睛会下雨">她的眼睛<div class="soil">龣蚾椭</div>会下雨</b></a>
INFO - 2019-01-06 23:15:30,366 - 点击歌曲<a href="/song?id=557407051"><b title="每一句都很甜">每一句都<div class="soil">传张着</div>很甜</b></a>
INFO - 2019-01-07 00:11:51,073 - 开始执行脚本 index.py
